성별,생일,결혼 유무,종교 유무,직업 코드,소득,지역구,나이,직업,연령대
여성,1960,결혼,있슴,530.0,180.0,부산/경남/울산,61,방문 노점 및 통신 판매 관련 종사자,노년
남성,1955,결혼,없슴,530.0,241.61901596892534,부산/경남/울산,66,방문 노점 및 통신 판매 관련 종사자,노년
여성,1955,결혼,있슴,530.0,241.61901596892534,부산/경남/울산,66,방문 노점 및 통신 판매 관련 종사자,노년
여성,1961,결혼,없슴,530.0,100.0,부산/경남/울산,60,방문 노점 및 통신 판매 관련 종사자,노년
여성,1964,결혼,없슴,530.0,241.61901596892534,부산/경남/울산,57,방문 노점 및 통신 판매 관련 종사자,중년
남성,1947,결혼,있슴,530.0,241.61901596892534,대구/경북,74,방문 노점 및 통신 판매 관련 종사자,노년
여성,1954,결혼,있슴,530.0,241.61901596892534,대구/경북,67,방문 노점 및 통신 판매 관련 종사자,노년
여성,1972,이혼,없슴,530.0,120.0,대구/경북,49,방문 노점 및 통신 판매 관련 종사자,중년
여성,1981,결혼,없슴,530.0,241.61901596892534,대구/경북,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1933,무응답,있슴,530.0,241.61901596892534,대구/경북,88,방문 노점 및 통신 판매 관련 종사자,노년
여성,1968,결혼,있슴,530.0,206.7,대구/경북,53,방문 노점 및 통신 판매 관련 종사자,중년
남성,1955,결혼,있슴,530.0,241.61901596892534,대구/경북,66,방문 노점 및 통신 판매 관련 종사자,노년
여성,1960,결혼,있슴,530.0,241.61901596892534,대구/경북,61,방문 노점 및 통신 판매 관련 종사자,노년
여성,1973,결혼,있슴,530.0,183.0,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년
여성,1970,결혼,없슴,530.0,100.0,수도권,51,방문 노점 및 통신 판매 관련 종사자,중년
여성,1938,무응답,있슴,530.0,241.61901596892534,수도권,83,방문 노점 및 통신 판매 관련 종사자,노년
남성,1967,결혼,없슴,530.0,241.61901596892534,수도권,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1973,결혼,있슴,530.0,160.0,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년
남성,1979,결혼,없슴,530.0,241.61901596892534,광주/전남/전북/제주도,42,방문 노점 및 통신 판매 관련 종사자,중년
여성,1967,이혼,없슴,530.0,208.3,광주/전남/전북/제주도,54,방문 노점 및 통신 판매 관련 종사자,중년
남성,1962,결혼,없슴,530.0,241.61901596892534,광주/전남/전북/제주도,59,방문 노점 및 통신 판매 관련 종사자,중년
여성,1970,결혼,있슴,530.0,130.0,대전/충남,51,방문 노점 및 통신 판매 관련 종사자,중년
여성,1979,결혼,있슴,530.0,125.0,대전/충남,42,방문 노점 및 통신 판매 관련 종사자,중년
남성,1973,결혼,없슴,530.0,241.61901596892534,대전/충남,48,방문 노점 및 통신 판매 관련 종사자,중년
여성,1962,결혼,있슴,530.0,241.61901596892534,수도권,59,방문 노점 및 통신 판매 관련 종사자,중년
남성,1962,결혼,없슴,530.0,241.61901596892534,수도권,59,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,결혼,없슴,530.0,200.0,수도권,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,결혼,있슴,530.0,30.0,수도권,55,방문 노점 및 통신 판매 관련 종사자,중년
남성,1940,결혼,있슴,530.0,241.61901596892534,수도권,81,방문 노점 및 통신 판매 관련 종사자,노년
여성,1968,결혼,없슴,530.0,50.0,수도권,53,방문 노점 및 통신 판매 관련 종사자,중년
남성,1971,무응답,없슴,530.0,241.61901596892534,수도권,50,방문 노점 및 통신 판매 관련 종사자,중년
남성,1982,결혼,없슴,530.0,241.61901596892534,수도권,39,방문 노점 및 통신 판매 관련 종사자,중년
여성,1973,결혼,있슴,530.0,291.6,수도권,48,방문 노점 및 통신 판매 관련 종사자,중년
여성,1968,무응답,없슴,530.0,320.0,서울,53,방문 노점 및 통신 판매 관련 종사자,중년
여성,1962,무응답,있슴,530.0,120.0,수도권,59,방문 노점 및 통신 판매 관련 종사자,중년
남성,1966,결혼,있슴,530.0,833.3,강원/충북,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,결혼,있슴,530.0,416.7,강원/충북,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1980,결혼,없슴,530.0,241.61901596892534,강원/충북,41,방문 노점 및 통신 판매 관련 종사자,중년
여성,1981,결혼,없슴,530.0,60.0,강원/충북,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1967,결혼,있슴,530.0,67.5,강원/충북,54,방문 노점 및 통신 판매 관련 종사자,중년
남성,1968,결혼,없슴,530.0,241.61901596892534,강원/충북,53,방문 노점 및 통신 판매 관련 종사자,중년
여성,1977,결혼,있슴,530.0,121.0,강원/충북,44,방문 노점 및 통신 판매 관련 종사자,중년
여성,1972,결혼,있슴,530.0,283.3,강원/충북,49,방문 노점 및 통신 판매 관련 종사자,중년
남성,1935,결혼,없슴,530.0,241.61901596892534,강원/충북,86,방문 노점 및 통신 판매 관련 종사자,노년
여성,1937,결혼,있슴,530.0,241.61901596892534,강원/충북,84,방문 노점 및 통신 판매 관련 종사자,노년
여성,1952,결혼,있슴,530.0,241.61901596892534,강원/충북,69,방문 노점 및 통신 판매 관련 종사자,노년
여성,1974,무응답,없슴,530.0,238.88,대전/충남,47,방문 노점 및 통신 판매 관련 종사자,중년
남성,1990,무응답,없슴,530.0,260.0,광주/전남/전북/제주도,31,방문 노점 및 통신 판매 관련 종사자,중년
여성,1965,결혼,있슴,530.0,300.0,대전/충남,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1937,무응답,있슴,530.0,241.61901596892534,대전/충남,84,방문 노점 및 통신 판매 관련 종사자,노년
여성,1966,결혼,없슴,530.0,147.33,대전/충남,55,방문 노점 및 통신 판매 관련 종사자,중년
남성,1964,결혼,있슴,530.0,241.61901596892534,대전/충남,57,방문 노점 및 통신 판매 관련 종사자,중년
여성,1939,무응답,없슴,530.0,241.61901596892534,대전/충남,82,방문 노점 및 통신 판매 관련 종사자,노년
여성,1940,결혼,없슴,530.0,241.61901596892534,대전/충남,81,방문 노점 및 통신 판매 관련 종사자,노년
여성,1965,결혼,있슴,530.0,241.61901596892534,광주/전남/전북/제주도,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1929,결혼,있슴,530.0,20.0,광주/전남/전북/제주도,92,방문 노점 및 통신 판매 관련 종사자,노년
여성,1971,결혼,있슴,530.0,241.61901596892534,부산/경남/울산,50,방문 노점 및 통신 판매 관련 종사자,중년
남성,1966,이혼,없슴,530.0,241.61901596892534,부산/경남/울산,55,방문 노점 및 통신 판매 관련 종사자,중년
여성,1951,무응답,없슴,530.0,241.61901596892534,부산/경남/울산,70,방문 노점 및 통신 판매 관련 종사자,노년
여성,1954,무응답,없슴,530.0,241.61901596892534,부산/경남/울산,67,방문 노점 및 통신 판매 관련 종사자,노년
여성,1981,무응답,없슴,530.0,241.61901596892534,부산/경남/울산,40,방문 노점 및 통신 판매 관련 종사자,중년
여성,1948,결혼,있슴,530.0,241.61901596892534,부산/경남/울산,73,방문 노점 및 통신 판매 관련 종사자,노년
여성,1974,결혼,있슴,530.0,172.9,수도권,47,방문 노점 및 통신 판매 관련 종사자,중년
여성,1947,결혼,없슴,530.0,241.61901596892534,부산/경남/울산,74,방문 노점 및 통신 판매 관련 종사자,노년
남성,1967,결혼,없슴,530.0,241.61901596892534,대구/경북,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1976,결혼,없슴,530.0,241.61901596892534,대구/경북,45,방문 노점 및 통신 판매 관련 종사자,중년
여성,1982,무응답,있슴,530.0,244.0,서울,39,방문 노점 및 통신 판매 관련 종사자,중년
여성,1963,이혼,있슴,530.0,50.0,광주/전남/전북/제주도,58,방문 노점 및 통신 판매 관련 종사자,중년
남성,1957,결혼,있슴,530.0,241.61901596892534,수도권,64,방문 노점 및 통신 판매 관련 종사자,노년
여성,1942,무응답,있슴,530.0,241.61901596892534,부산/경남/울산,79,방문 노점 및 통신 판매 관련 종사자,노년
여성,1965,결혼,있슴,530.0,1000.0,수도권,56,방문 노점 및 통신 판매 관련 종사자,중년
여성,1946,결혼,있슴,530.0,241.61901596892534,수도권,75,방문 노점 및 통신 판매 관련 종사자,노년
남성,1982,결혼,있슴,530.0,258.2,수도권,39,방문 노점 및 통신 판매 관련 종사자,중년
여성,1963,결혼,없슴,530.0,91.7,대구/경북,58,방문 노점 및 통신 판매 관련 종사자,중년
여성,1941,무응답,없슴,530.0,241.61901596892534,수도권,80,방문 노점 및 통신 판매 관련 종사자,노년
남성,1967,결혼,없슴,530.0,241.61901596892534,강원/충북,54,방문 노점 및 통신 판매 관련 종사자,중년
여성,1975,이혼,없슴,530.0,300.0,수도권,46,방문 노점 및 통신 판매 관련 종사자,중년
여성,1980,결혼,없슴,530.0,69.1,대구/경북,41,방문 노점 및 통신 판매 관련 종사자,중년
남성,1957,결혼,없슴,530.0,241.61901596892534,서울,64,방문 노점 및 통신 판매 관련 종사자,노년
여성,1968,결혼,있슴,530.0,146.7,대구/경북,53,방문 노점 및 통신 판매 관련 종사자,중년
여성,1966,이혼,있슴,530.0,137.0,부산/경남/울산,55,방문 노점 및 통신 판매 관련 종사자,중년
남성,1968,결혼,있슴,530.0,241.61901596892534,대구/경북,53,방문 노점 및 통신 판매 관련 종사자,중년
여성,1992,무응답,있슴,530.0,150.0,대전/충남,29,방문 노점 및 통신 판매 관련 종사자,청년
남성,1962,무응답,없슴,999.0,40.0,서울,59,기타 서비스관련 단순 종사원,중년
여성,1957,무응답,없슴,999.0,291.1,대전/충남,64,기타 서비스관련 단순 종사원,노년
남성,1991,무응답,있슴,999.0,91.4,서울,30,기타 서비스관련 단순 종사원,중년
여성,1943,무응답,있슴,999.0,20.0,서울,78,기타 서비스관련 단순 종사원,노년
남성,1965,결혼,있슴,999.0,241.61901596892534,서울,56,기타 서비스관련 단순 종사원,중년
여성,1967,결혼,있슴,999.0,241.61901596892534,서울,54,기타 서비스관련 단순 종사원,중년
남성,1960,결혼,없슴,999.0,241.61901596892534,서울,61,기타 서비스관련 단순 종사원,노년
여성,1960,결혼,없슴,999.0,241.61901596892534,서울,61,기타 서비스관련 단순 종사원,노년
여성,1966,결혼,있슴,999.0,241.61901596892534,서울,55,기타 서비스관련 단순 종사원,중년
여성,1958,결혼,있슴,999.0,139.58,서울,63,기타 서비스관련 단순 종사원,노년
여성,1951,결혼,있슴,999.0,241.61901596892534,서울,70,기타 서비스관련 단순 종사원,노년
여성,1942,결혼,있슴,999.0,120.0,서울,79,기타 서비스관련 단순 종사원,노년
남성,1995,무응답,없슴,999.0,63.6,서울,26,기타 서비스관련 단순 종사원,청년
여성,1963,결혼,없슴,999.0,241.61901596892534,서울,58,기타 서비스관련 단순 종사원,중년
남성,1950,결혼,없슴,999.0,110.0,서울,71,기타 서비스관련 단순 종사원,노년
남성,1938,무응답,없슴,999.0,20.0,서울,83,기타 서비스관련 단순 종사원,노년
남성,1994,무응답,없슴,999.0,241.61901596892534,서울,27,기타 서비스관련 단순 종사원,청년
남성,1986,무응답,없슴,999.0,155.5,서울,35,기타 서비스관련 단순 종사원,중년
여성,1951,이혼,없슴,999.0,127.0,서울,70,기타 서비스관련 단순 종사원,노년
남성,1954,결혼,있슴,999.0,100.0,서울,67,기타 서비스관련 단순 종사원,노년
여성,1947,결혼,있슴,999.0,20.0,서울,74,기타 서비스관련 단순 종사원,노년
여성,1968,무응답,있슴,999.0,82.5,부산/경남/울산,53,기타 서비스관련 단순 종사원,중년
남성,1979,무응답,있슴,999.0,241.61901596892534,부산/경남/울산,42,기타 서비스관련 단순 종사원,중년
남성,1990,무응답,없슴,999.0,123.0,부산/경남/울산,31,기타 서비스관련 단순 종사원,중년
여성,1944,결혼,있슴,999.0,241.61901596892534,부산/경남/울산,77,기타 서비스관련 단순 종사원,노년
남성,1992,무응답,없슴,999.0,94.0,부산/경남/울산,29,기타 서비스관련 단순 종사원,청년
여성,1973,결혼,없슴,999.0,241.61901596892534,부산/경남/울산,48,기타 서비스관련 단순 종사원,중년
여성,1943,무응답,있슴,999.0,20.0,부산/경남/울산,78,기타 서비스관련 단순 종사원,노년
여성,1982,결혼,없슴,999.0,77.0,대구/경북,39,기타 서비스관련 단순 종사원,중년
남성,1938,결혼,있슴,999.0,20.0,대구/경북,83,기타 서비스관련 단순 종사원,노년
여성,1969,결혼,없슴,999.0,241.61901596892534,대구/경북,52,기타 서비스관련 단순 종사원,중년
남성,1968,결혼,없슴,999.0,241.61901596892534,대구/경북,53,기타 서비스관련 단순 종사원,중년
남성,1967,무응답,없슴,999.0,60.0,수도권,54,기타 서비스관련 단순 종사원,중년
남성,1942,결혼,있슴,999.0,20.0,대구/경북,79,기타 서비스관련 단순 종사원,노년
남성,1984,무응답,없슴,999.0,99.0,대구/경북,37,기타 서비스관련 단순 종사원,중년
여성,1993,무응답,없슴,999.0,241.61901596892534,대구/경북,28,기타 서비스관련 단순 종사원,청년
남성,1953,결혼,없슴,999.0,241.61901596892534,대구/경북,68,기타 서비스관련 단순 종사원,노년
여성,1959,결혼,있슴,999.0,35.8,대구/경북,62,기타 서비스관련 단순 종사원,노년
남성,1976,결혼,없슴,999.0,267.2,대구/경북,45,기타 서비스관련 단순 종사원,중년
여성,1968,이혼,없슴,999.0,90.0,수도권,53,기타 서비스관련 단순 종사원,중년
여성,1968,결혼,없슴,999.0,100.0,수도권,53,기타 서비스관련 단순 종사원,중년
여성,1957,결혼,없슴,999.0,107.0,수도권,64,기타 서비스관련 단순 종사원,노년
여성,1964,결혼,없슴,999.0,200.5,수도권,57,기타 서비스관련 단순 종사원,중년
남성,1991,무응답,없슴,999.0,25.0,수도권,30,기타 서비스관련 단순 종사원,중년
여성,1942,무응답,있슴,999.0,20.0,수도권,79,기타 서비스관련 단순 종사원,노년
남성,1971,결혼,있슴,999.0,241.61901596892534,광주/전남/전북/제주도,50,기타 서비스관련 단순 종사원,중년
남성,1943,결혼,없슴,999.0,241.61901596892534,광주/전남/전북/제주도,78,기타 서비스관련 단순 종사원,노년
여성,1962,이혼,있슴,999.0,75.0,광주/전남/전북/제주도,59,기타 서비스관련 단순 종사원,중년
남성,1981,무응답,없슴,999.0,120.0,광주/전남/전북/제주도,40,기타 서비스관련 단순 종사원,중년
남성,1990,무응답,없슴,999.0,241.61901596892534,광주/전남/전북/제주도,31,기타 서비스관련 단순 종사원,중년
여성,1968,결혼,없슴,999.0,150.0,대전/충남,53,기타 서비스관련 단순 종사원,중년
여성,1944,무응답,없슴,999.0,20.0,대전/충남,77,기타 서비스관련 단순 종사원,노년
